PLAYER_1,PLAYER_2,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,SCORING_EDGE_WEIGHT
1629067,1629139,-1629067-1629139-,I. Bonga - Y. Watanabe,1610612761,TOR,35.6,80.5,107.7,-27.2,104.42,0.429,0.179,0.375,0.567,0.433,0.194,0.145,0.113,0.355,0.375,0.625,0.37,0.522,0.269,0.167,0.449438202
202692,1627853,-202692-1627853-,A. Burks - R. Arcidiacono,1610612752,NYK,35.7,87,97.3,-10.3,102.09,0.519,0.259,0.783,0.534,0.466,0.03,0.104,0.179,0.388,0.783,0.217,0.281,0.476,0.274,0.12,0.448179272
2738,1626172,-2738-1626172-,A. Iguodala - K. Looney,1610612744,GSW,62.5,114.1,80.3,33.8,101.71,0.583,0.181,0.561,0.586,0.414,0.082,0.11,0.103,0.466,0.561,0.439,0.275,0.414,0.27,0.182,0.448
1626156,1630195,-1626156-1630195-,D. Russell - L. Bolmaro,1610612750,MIN,38,96.6,87.5,9.1,110.4,0.516,0.26,0.69,0.534,0.466,0.024,0.06,0.167,0.381,0.69,0.31,0.316,0.417,0.278,0.136,0.447368421
202083,1629623,-202083-1629623-,W. Matthews - L. Wigginton,1610612749,MIL,22.4,100,82.7,17.3,111.23,0.565,0.714,0.429,0.429,0.571,0.115,0.058,0.365,0.231,0.429,0.571,0.154,0.429,0.238,0.154,0.446428571
1626158,1626168,-1626158-1626168-,R. Holmes - T. Lyles,1610612758,SAC,22.4,89.8,117.6,-27.9,107.3,0.484,0.022,0.3,0.622,0.378,0.091,0.091,0.023,0.682,0.3,0.7,0.444,0.595,0.381,0.059,0.446428571
1629631,1630552,-1629631-1630552-,D. Hunter - J. Johnson,1610612737,ATL,4.5,100,144.4,-44.4,100.29,0.635,0.286,0.333,0.571,0.429,0,0,0.2,0.2,0.333,0.667,0,0.75,0.125,0.222,0.444444444
1630167,1630624,-1630167-1630624-,O. Toppin - F. Hunt,1610612752,NYK,4.5,90,144.4,-54.4,100.85,0.431,0.1,0.333,0.7,0.3,0,0.333,0.111,0.222,0.333,0.667,0.25,0.542,0,0,0.444444444
200794,201935,-200794-201935-,P. Millsap - J. Harden,1610612751,BKN,157.6,107.2,98.2,9,100.67,0.528,0.327,0.577,0.626,0.374,0.078,0.139,0.223,0.423,0.577,0.423,0.29,0.45,0.269,0.129,0.444162437
200794,201935,-200794-201935-,P. Millsap - J. Harden,1610612755,PHI,45.7,127.8,116.3,11.5,102.38,0.658,0.506,0.541,0.468,0.532,0.081,0.081,0.258,0.226,0.541,0.459,0.281,0.584,0.277,0.102,0.444162437
201565,1630579,-201565-1630579-,D. Rose - J. Sims,1610612752,NYK,24.8,107.4,94.3,13.1,103.73,0.566,0.5,0.647,0.452,0.548,0.069,0.224,0.276,0.241,0.647,0.353,0.35,0.448,0.188,0.17,0.443548387
1629012,1629685,-1629012-1629685-,C. Sexton - D. Windler,1610612739,CLE,11.3,87,121.7,-34.8,97.99,0.597,0.267,0.833,0.6,0.4,0,0,0.2,0.2,0.833,0.167,0.4,0.591,0.136,0,0.442477876
